laboratorio,versao,family_name,family_design,family_clinical_category,offer_id,raw_label,canonical_label,offer_clinical_category,material,indice_refracao,is_atomic_offer,already_includes_treatment,allows_composition,base_price,source_page_reference,treatment_name,treatment_type,price_mode,special_price,final_price,sph_min,sph_max,cyl_min,cyl_max,add_min,add_max,section_name,subsection_name
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,f4b255a1-c264-41e0-a91f-1279fe5c8c63,1.74 Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.74 Digital,indefinida,Resina,1.74,false,false,true,2856.00,Pagina 39,Trio Easy Clean,Antirreflexo,final,2856.00,2856.00,25.00,-30.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,f4b255a1-c264-41e0-a91f-1279fe5c8c63,1.74 Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.74 Digital,indefinida,Resina,1.74,false,false,true,2856.00,Pagina 39,Vert Clair,Antirreflexo,final,3407.00,3407.00,25.00,-30.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,2c68d638-aae9-44ba-802e-8a94488b6550,1.74 Transitions Gen 8 Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.74 Transitions Gen 8 Digital,indefinida,Resina,1.74,false,false,true,5809.00,Pagina 39,Trio Easy Clean,Antirreflexo,final,5809.00,5809.00,25.00,-30.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,2c68d638-aae9-44ba-802e-8a94488b6550,1.74 Transitions Gen 8 Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.74 Transitions Gen 8 Digital,indefinida,Resina,1.74,false,false,true,5809.00,Pagina 39,Vert Clair,Antirreflexo,final,6090.00,6090.00,25.00,-30.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,e0b3a03a-143b-4eb6-9cc4-b5e0aa3eec09,1.74 UV Led Protection Single Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.74 UV Led Protection Single Digital,visao_simples,Resina,1.74,false,false,true,3249.00,Pagina 39,Trio Easy Clean,Antirreflexo,final,3249.00,3249.00,25.00,-30.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,e0b3a03a-143b-4eb6-9cc4-b5e0aa3eec09,1.74 UV Led Protection Single Digital,iTop LENTES SURFAÇADAS DIGITAIS 1.74 UV Led Protection Single Digital,visao_simples,Resina,1.74,false,false,true,3249.00,Pagina 39,Vert Clair,Antirreflexo,final,3853.00,3853.00,25.00,-30.00,0.00,-8.00,null,null,LENTES SURFAÇADAS DIGITAIS,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,34d1dbd3-bbe9-41e5-a6cc-bd3668ec9234,1.50 Espelhado,iTop SOLARES / COLORAÇÃO iTop Summer Progressive 1.50 Espelhado,multifocal,Resina,1.50,true,false,false,2640.00,Pagina 41,null,null,null,null,2640.00,-7.00,6.00,0.00,-6.00,0.50,5.00,SOLARES / COLORAÇÃO,iTop Summer Progressive
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop,Mista,mista,e421b93b-ae75-4571-8e0f-3f2f7d1f65d7,1.50 Espelhado,iTop SOLARES / COLORAÇÃO iTop Summer Single 1.50 Espelhado,visao_simples,Resina,1.50,true,false,false,1506.00,Pagina 41,null,null,null,null,1506.00,-7.00,6.00,0.00,-6.00,null,null,SOLARES / COLORAÇÃO,iTop Summer Single
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,f0fcbfe4-3df4-456a-b8a3-89ab8b4da4ab,1.50,iTop Visão Simples - Blocos 1.50,visao_simples,Resina,1.50,false,false,true,998.00,Pagina 40,Trio Easy Clean,Antirreflexo,final,1080.00,1080.00,-9.00,6.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,f0fcbfe4-3df4-456a-b8a3-89ab8b4da4ab,1.50,iTop Visão Simples - Blocos 1.50,visao_simples,Resina,1.50,false,false,true,998.00,Pagina 40,Verniz Hc,Revestimento,final,998.00,998.00,-9.00,6.00,0.00,0.00,0.50,5.00,null,null
