"fonte_tabela","laboratorio","pagina_pdf","bloco_visual","familia","produto","design","material","indice_refracao","tratamento","nota_disponibilidade"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Orma","1.50","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Airwear","1.586","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Rock","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Pro","","Stylis","1.67","Crizal Easy Pro","Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível"
"PVO","Essilor","4","digital","Varilux XR Series","Varilux XR Track","","Orma","","",""
"PVC","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","City 1.67","Stylis","1.67",""
"PVC","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","City Poly","Airwear Polypower","Poly","429.00"
"PVC","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","City 1.56","","1.56","329.00"
"PVC","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","No Reflex 1.50 Transitions Gen S cinza","Orma","1.50","649.00"
"PVC","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Blue 1.67","Stylis","1.67","879.00"
"PVC","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Blue Poly","Airwear Polypower","Poly","319.00"
"PVC","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Blue 1.56","","1.56","219.00"
"PVC","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Intro Poly","Airwear Polypower","Poly","209.00"
"PVC","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Intro 1.56","","1.56","109.00"
"PVO","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","City 1.67","Stylis","1.67",""
"PVO","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","City Poly","Airwear Polypower","Poly","175.00"
"PVO","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","City 1.56","","1.56","125.00"
"PVO","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","No Reflex 1.50 Transitions Gen S cinza","Orma","1.50","234.00"
"PVO","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Blue 1.67","Stylis","1.67","299.00"
"PVO","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Blue Poly","Airwear Polypower","Poly","113.00"
"PVO","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Blue 1.56","","1.56","82.00"
"PVO","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Intro Poly","Airwear Polypower","Poly","82.00"
"PVO","Kodak","15","Lentes Prontas","Kodak","Lentes Prontas Kodak","","Intro 1.56","","1.56","37.00"
