status,familia,produto,design,material,indice_refracao,tratamento,nota_disponibilidade
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Prevencia,Crizal Prevencia,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Rock,Crizal Rock,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Crizal Easy Pro,Crizal Easy Pro,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Optifog,Optifog,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.74,1.74,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.74,1.74,Crizal Sapphire HR,Crizal Sapphire HR,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Xperio Marrom,Xperio,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Xperio Verde,Xperio,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Xperio Marrom,Xperio,
dup_vs_essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Xperio Verde,Xperio,
nao_disponivel,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Sem AR,traço - não disponível
nao_disponivel,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Sem AR,traço - não disponível
nao_disponivel,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Sem AR,traço - não disponível
nao_disponivel,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Orma,1.50,Sem AR,traço - não disponível
nao_disponivel,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Airwear,1.59,Sem AR,traço - não disponível
nao_disponivel,Lentes Essilor,VS Essilor Surfaçada,Surfaçada,Stylis 1.67,1.67,Sem AR,traço - não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Orma,1.50,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Stylis,1.67,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
