family_name,raw_label,canonical_label,material,indice_refracao,base_price,compatible_treatments,source_page_reference,confidence_level
VARILUX® XR SERIES,Airwear + Transitions Extractive,VARILUX® XR SERIES DIGITAL Airwear + Transitions Extractive,Policarbonato,,7599.0,"Crizal Easy Pro=7869.0, Optifog=7869.0, Verniz Hc=7599.0",Pagina 14,0.86
VARILUX® XR SERIES,Airwear + Transitions Gen S,VARILUX® XR SERIES DIGITAL Airwear + Transitions Gen S,Policarbonato,,7539.0,"Crizal Easy Pro=7809.0, Optifog=7809.0, Verniz Hc=7539.0",Pagina 14,0.86
VARILUX® XR SERIES,Airwear + Xperio cinza/marrom,VARILUX® XR SERIES DIGITAL Airwear + Xperio cinza/marrom,Policarbonato,,5959.0,"Crizal Easy Pro=6619.0, Optifog=6599.0, Verniz Hc=5959.0",Pagina 14,0.78
VARILUX® XR SERIES,Orma,VARILUX® XR SERIES DIGITAL Orma,Resina,,5599.0,"Crizal Easy Pro=5869.0, Optifog=5869.0, Verniz Hc=5599.0",Pagina 14,0.86
VARILUX® XR SERIES,Orma,VARILUX® XR SERIES DIGITAL Orma,Resina,,5029.0,Verniz Hc=5029.0,Pagina 14,0.78
VARILUX® XR SERIES,Orma + Coloração especial,VARILUX® XR SERIES DIGITAL Orma + Coloração especial,Resina,,5139.0,Verniz Hc=5139.0,Pagina 14,0.78
VARILUX® XR SERIES,Orma + Transitions Extractive,VARILUX® XR SERIES DIGITAL Orma + Transitions Extractive,Resina,,7179.0,"Crizal Easy Pro=7449.0, Optifog=7449.0, Verniz Hc=7179.0",Pagina 14,0.86
VARILUX® XR SERIES,Orma + Transitions Gen S,VARILUX® XR SERIES DIGITAL Orma + Transitions Gen S,Resina,,7119.0,"Crizal Easy Pro=7389.0, Optifog=7389.0, Verniz Hc=7119.0",Pagina 14,0.86
VARILUX® XR SERIES,Orma + Xperio cinza/marrom,VARILUX® XR SERIES DIGITAL Orma + Xperio cinza/marrom,Resina,,5539.0,"Crizal Easy Pro=6199.0, Optifog=6179.0, Verniz Hc=5539.0",Pagina 14,0.78
VARILUX® XR SERIES,Stylis 1.67,VARILUX® XR SERIES DIGITAL Stylis 1.67,Resina High Index,1.67,8799.0,"Crizal Easy Pro=9069.0, Optifog=9069.0, Verniz Hc=8799.0",Pagina 14,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Extractive,VARILUX® XR SERIES DIGITAL Stylis 1.67 + Transitions Extractive,Resina High Index,1.67,10379.0,"Crizal Easy Pro=10649.0, Optifog=10649.0, Verniz Hc=10379.0",Pagina 14,0.86
VARILUX® XR SERIES,Stylis 1.67 + Transitions Gen S,VARILUX® XR SERIES DIGITAL Stylis 1.67 + Transitions Gen S,Resina High Index,1.67,10319.0,"Crizal Easy Pro=10589.0, Optifog=10589.0, Verniz Hc=10319.0",Pagina 14,0.86
VARILUX® XR SERIES,Stylis 1.74,VARILUX® XR SERIES DIGITAL Stylis 1.74,Resina High Index,1.74,10939.0,Optifog=10939.0,Pagina 14,0.86
VARILUX® XR SERIES,Stylis 1.74 + Transitions Gen S,VARILUX® XR SERIES DIGITAL Stylis 1.74 + Transitions Gen S,Resina High Index,1.74,12459.0,Optifog=12459.0,Pagina 14,0.86
VARILUX® Physio® Extensee,Airwear,VARILUX® Physio® Extensee Airwear,Policarbonato,,3849.0,"Crizal Easy Pro=4119.0, Optifog=4119.0, Verniz Hc=3849.0",Pagina 15,0.86
VARILUX® Physio® Extensee,Airwear,VARILUX® Physio® Extensee Airwear,Policarbonato,,3279.0,Crizal Easy Pro=3279.0,Pagina 15,0.78
VARILUX® Physio® Extensee,Airwear + Transitions Extractive,VARILUX® Physio® Extensee Airwear + Transitions Extractive,Policarbonato,,4979.0,"Crizal Easy Pro=5249.0, Optifog=5249.0, Verniz Hc=4979.0",Pagina 15,0.86
VARILUX® Physio® Extensee,Airwear + Transitions Gen S,VARILUX® Physio® Extensee Airwear + Transitions Gen S,Policarbonato,,4949.0,"Crizal Easy Pro=5219.0, Optifog=5219.0, Verniz Hc=4949.0",Pagina 15,0.86
