ID_Item;ID_Venda_CSV;ID_Produto_CSV;Qtd;Valor;DIAGNOSTICO
1932;1269;6855;1;180,00;Venda Pai Nao Existe no Banco
1933;1270;4654;1;70,00;Venda Pai Nao Existe no Banco
1934;1272;1533;1;90,00;Venda Pai Nao Existe no Banco
1935;1272;7224;1;200,00;Venda Pai Nao Existe no Banco
1936;1273;5708;1;100,00;Venda Pai Nao Existe no Banco
1937;1274;1533;1;90,00;Venda Pai Nao Existe no Banco
1938;1274;7058;1;100,00;Venda Pai Nao Existe no Banco
1939;1275;6964;1;240,00;Venda Pai Nao Existe no Banco
1940;1275;1533;1;90,00;Venda Pai Nao Existe no Banco
1941;1276;1804;1;600,00;Venda Pai Nao Existe no Banco
1942;1277;1805;1;600,00;Venda Pai Nao Existe no Banco
1943;1278;1533;1;90,00;Venda Pai Nao Existe no Banco
1944;1278;7227;1;260,00;Venda Pai Nao Existe no Banco
1945;1279;4581;1;205,00;Venda Pai Nao Existe no Banco
1946;1280;6771;1;300,00;Venda Pai Nao Existe no Banco
1948;1282;1533;1;90,00;Venda Pai Nao Existe no Banco
1949;1282;6835;1;240,00;Venda Pai Nao Existe no Banco
1950;1283;7366;1;265,00;Venda Pai Nao Existe no Banco
1951;1283;7465;1;435,00;Venda Pai Nao Existe no Banco
1952;1284;1533;1;90,00;Venda Pai Nao Existe no Banco
1953;1284;6883;1;220,00;Venda Pai Nao Existe no Banco
1954;1285;1534;1;160,00;Venda Pai Nao Existe no Banco
1955;1285;6738;1;490,00;Venda Pai Nao Existe no Banco
1956;1286;5046;1;200,00;Venda Pai Nao Existe no Banco
1957;1287;1542;1;260,00;Venda Pai Nao Existe no Banco
1958;1287;6258;1;210,00;Venda Pai Nao Existe no Banco
1959;1288;7114;1;100,00;Venda Pai Nao Existe no Banco
1960;1289;1533;1;90,00;Venda Pai Nao Existe no Banco
1961;1291;2403;1;198,00;Venda Pai Nao Existe no Banco
1962;1292;1542;1;260,00;Venda Pai Nao Existe no Banco
1963;1293;1533;1;90,00;Venda Pai Nao Existe no Banco
1964;1293;6472;1;100,00;Venda Pai Nao Existe no Banco
1965;1294;1533;1;90,00;Venda Pai Nao Existe no Banco
1966;1294;7218;1;210,00;Venda Pai Nao Existe no Banco
1967;1295;1552;1;190,00;Venda Pai Nao Existe no Banco
1968;1295;7108;1;350,00;Venda Pai Nao Existe no Banco
1969;1296;4200;1;260,00;Venda Pai Nao Existe no Banco
1970;1297;1533;1;70,00;Venda Pai Nao Existe no Banco
1971;1297;1534;1;125,00;Venda Pai Nao Existe no Banco
1972;1297;4681;1;160,00;Venda Pai Nao Existe no Banco
1973;1297;1534;1;100,00;Venda Pai Nao Existe no Banco
1974;1297;7273;1;290,00;Venda Pai Nao Existe no Banco
1975;1297;6512;1;370,00;Venda Pai Nao Existe no Banco
1976;1298;2403;1;298,00;Venda Pai Nao Existe no Banco
1977;1300;1542;1;260,00;Venda Pai Nao Existe no Banco
1978;1301;1370;1;160,00;Venda Pai Nao Existe no Banco
1979;1302;1534;1;150,00;Venda Pai Nao Existe no Banco
1980;1303;1542;1;260,00;Venda Pai Nao Existe no Banco
1981;1303;7312;1;380,00;Venda Pai Nao Existe no Banco
1982;1304;7395;1;150,00;Venda Pai Nao Existe no Banco
1983;1305;1552;1;180,00;Venda Pai Nao Existe no Banco
1985;1306;1321;1;100,00;Venda Pai Nao Existe no Banco
1986;1307;6856;1;200,00;Venda Pai Nao Existe no Banco
1987;1308;1533;1;70,00;Venda Pai Nao Existe no Banco
1988;1308;1370;1;100,00;Venda Pai Nao Existe no Banco
1989;1309;1534;1;160,00;Venda Pai Nao Existe no Banco
1990;1309;6518;1;420,00;Venda Pai Nao Existe no Banco
1991;1310;1562;1;580,00;Venda Pai Nao Existe no Banco
1992;1310;1534;1;160,00;Venda Pai Nao Existe no Banco
1993;1310;7442;1;470,00;Venda Pai Nao Existe no Banco
1994;1311;1533;1;90,00;Venda Pai Nao Existe no Banco
1995;1313;5530;1;280,00;Venda Pai Nao Existe no Banco
1996;1315;1534;1;140,00;Venda Pai Nao Existe no Banco
1997;1315;1370;1;100,00;Venda Pai Nao Existe no Banco
1998;1316;1552;1;190,00;Venda Pai Nao Existe no Banco
1999;1316;7316;1;340,00;Venda Pai Nao Existe no Banco
2000;1317;1534;1;160,00;Venda Pai Nao Existe no Banco
2001;1317;7438;1;430,00;Venda Pai Nao Existe no Banco
2002;1318;1533;1;90,00;Venda Pai Nao Existe no Banco
2003;1319;4056;1;100,00;Venda Pai Nao Existe no Banco
2004;1321;7392;1;220,00;Venda Pai Nao Existe no Banco
2007;1322;2403;2;596,00;Venda Pai Nao Existe no Banco
2008;1323;1534;1;160,00;Venda Pai Nao Existe no Banco
2009;1324;1542;1;130,00;Venda Pai Nao Existe no Banco
2010;1324;1534;1;90,00;Venda Pai Nao Existe no Banco
2011;1325;1542;1;180,00;Venda Pai Nao Existe no Banco
2012;1325;1542;1;180,00;Venda Pai Nao Existe no Banco
2013;1326;4680;1;220,00;Venda Pai Nao Existe no Banco
2014;1326;7463;1;400,00;Venda Pai Nao Existe no Banco
2015;1327;1370;1;165,00;Venda Pai Nao Existe no Banco
2016;1328;7385;2;20,00;Venda Pai Nao Existe no Banco
2017;1329;1370;1;80,00;Venda Pai Nao Existe no Banco
2018;1330;1552;1;170,00;Venda Pai Nao Existe no Banco
2019;1330;7011;1;200,00;Venda Pai Nao Existe no Banco
2020;1331;1542;1;220,00;Venda Pai Nao Existe no Banco
2022;1332;6479;1;160,00;Venda Pai Nao Existe no Banco
2023;1332;1752;1;250,00;Venda Pai Nao Existe no Banco
2024;1333;1534;1;160,00;Venda Pai Nao Existe no Banco
2025;1333;3498;1;100,00;Venda Pai Nao Existe no Banco
2027;1334;5804;1;100,00;Venda Pai Nao Existe no Banco
2028;1334;1752;1;230,00;Venda Pai Nao Existe no Banco
2029;1335;1721;1;480,00;Venda Pai Nao Existe no Banco
2031;1335;4327;1;180,00;Venda Pai Nao Existe no Banco
2032;1336;1534;1;145,00;Venda Pai Nao Existe no Banco
2034;1337;7292;1;300,00;Venda Pai Nao Existe no Banco
2035;1337;1721;1;880,00;Venda Pai Nao Existe no Banco
2036;1338;5837;1;100,00;Venda Pai Nao Existe no Banco
2037;1338;1533;1;90,00;Venda Pai Nao Existe no Banco
2038;1339;6525;1;450,00;Venda Pai Nao Existe no Banco
2039;1339;1542;1;0,00;Venda Pai Nao Existe no Banco
2040;1341;4055;1;100,00;Venda Pai Nao Existe no Banco
2041;1343;1754;1;1.000,00;Venda Pai Nao Existe no Banco
2042;1343;7432;1;500,00;Venda Pai Nao Existe no Banco
2043;1344;6016;1;440,00;Venda Pai Nao Existe no Banco
2044;1345;1673;1;66,00;Venda Pai Nao Existe no Banco
2046;1346;7227;1;220,00;Venda Pai Nao Existe no Banco
2047;1346;1752;1;220,00;Venda Pai Nao Existe no Banco
2048;1347;1534;1;160,00;Venda Pai Nao Existe no Banco
2049;1347;5838;1;140,00;Venda Pai Nao Existe no Banco
2050;1348;5835;1;100,00;Venda Pai Nao Existe no Banco
2051;1348;1533;1;80,00;Venda Pai Nao Existe no Banco
2052;1349;1533;1;90,00;Venda Pai Nao Existe no Banco
2053;1349;7504;1;390,00;Venda Pai Nao Existe no Banco
2054;1350;7466;1;470,00;Venda Pai Nao Existe no Banco
2055;1350;1534;1;160,00;Venda Pai Nao Existe no Banco
2056;1351;1533;1;90,00;Venda Pai Nao Existe no Banco
2057;1353;1552;1;145,00;Venda Pai Nao Existe no Banco
2058;1354;1562;1;480,00;Venda Pai Nao Existe no Banco
2060;1354;7514;1;300,00;Venda Pai Nao Existe no Banco
2061;1355;5784;1;530,00;Venda Pai Nao Existe no Banco
2062;1355;1534;1;110,00;Venda Pai Nao Existe no Banco
2063;1355;7369;1;550,00;Venda Pai Nao Existe no Banco
2064;1354;7521;1;300,00;Venda Pai Nao Existe no Banco
2065;1354;1562;1;480,00;Venda Pai Nao Existe no Banco
2066;1356;1533;1;90,00;Venda Pai Nao Existe no Banco
2067;1356;6286;1;100,00;Venda Pai Nao Existe no Banco
2068;1358;4118;1;120,00;Venda Pai Nao Existe no Banco
2069;1359;3514;1;100,00;Venda Pai Nao Existe no Banco
2070;1360;7348;1;350,00;Venda Pai Nao Existe no Banco
2071;1361;1534;1;160,00;Venda Pai Nao Existe no Banco
2073;1362;7527;1;250,00;Venda Pai Nao Existe no Banco
2074;1364;1534;1;140,00;Venda Pai Nao Existe no Banco
2075;1365;1533;1;90,00;Venda Pai Nao Existe no Banco
2076;1365;6155;1;250,00;Venda Pai Nao Existe no Banco
2077;1366;1542;1;260,00;Venda Pai Nao Existe no Banco
2078;1366;4330;1;220,00;Venda Pai Nao Existe no Banco
2079;1367;1721;1;500,00;Venda Pai Nao Existe no Banco
2080;1367;7323;1;250,00;Venda Pai Nao Existe no Banco
2081;1368;7366;1;280,00;Venda Pai Nao Existe no Banco
2082;1368;6518;1;390,00;Venda Pai Nao Existe no Banco
2083;1369;6825;1;100,00;Venda Pai Nao Existe no Banco
2084;1370;1542;1;225,00;Venda Pai Nao Existe no Banco
2085;1370;7421;1;405,00;Venda Pai Nao Existe no Banco
2087;1371;1721;1;450,00;Venda Pai Nao Existe no Banco
2088;1372;5501;1;530,00;Venda Pai Nao Existe no Banco
2089;1373;2287;1;60,00;Venda Pai Nao Existe no Banco
2090;1374;1534;1;128,00;Venda Pai Nao Existe no Banco
2091;1376;2403;2;360,00;Venda Pai Nao Existe no Banco
2093;1377;6347;0,5;160,00;Venda Pai Nao Existe no Banco
2094;1377;4680;0,5;120,00;Venda Pai Nao Existe no Banco
2095;1378;2403;2;700,00;Venda Pai Nao Existe no Banco
2096;1379;1533;1;150,00;Venda Pai Nao Existe no Banco
2097;1380;1533;1;90,00;Venda Pai Nao Existe no Banco
2098;1381;1534;1;70,00;Venda Pai Nao Existe no Banco
2100;1382;5691;1;100,00;Venda Pai Nao Existe no Banco
2101;1382;1552;1;190,00;Venda Pai Nao Existe no Banco
2102;1383;1533;1;80,00;Venda Pai Nao Existe no Banco
2103;1383;7114;1;100,00;Venda Pai Nao Existe no Banco
2104;1384;1542;1;260,00;Venda Pai Nao Existe no Banco
2105;1384;6197;1;220,00;Venda Pai Nao Existe no Banco
