ID_Venda;Num_Parcela;Valor_Parcela;Valor_Pago;Data_Venc;Data_Pgto;Recibo;TIPO_ERRO
3652;1;200,00;200,00;09/04/2019;24/04/2020;FALSO;Original
3652;1;50,00;50,00;09/04/2019;20/07/2020;FALSO;Duplicata/Parcial
3814;1;50,00;50,00;05/05/2019;06/05/2019;FALSO;Original
3814;1;20,00;20,00;05/05/2019;05/06/2019;FALSO;Duplicata/Parcial
4161;1;200,00;200,00;10/09/2019;08/11/2019;FALSO;Original
4161;1;60,00;60,00;10/02/2021;12/03/2021;FALSO;Duplicata/Parcial
4215;1;30,00;30,00;02/09/2019;08/10/2019;FALSO;Original
4215;1;55,00;55,00;02/09/2019;27/05/2021;FALSO;Duplicata/Parcial
4550;1;30,00;30,00;02/01/2020;30/12/2019;VERDADEIRO;Original
4550;1;30,00;30,00;02/02/2020;30/01/2020;FALSO;Duplicata/Parcial
4808;1;89,00;89,00;29/02/2020;07/05/2020;FALSO;Original
4808;1;50,00;50,00;29/02/2020;04/02/2022;FALSO;Duplicata/Parcial
4808;1;51,00;51,00;10/07/2020;30/12/2022;FALSO;Duplicata/Parcial
4808;2;50,00;50,00;29/03/2020;06/08/2020;FALSO;Original
4808;2;50,00;50,00;29/03/2020;02/07/2022;FALSO;Duplicata/Parcial
4849;1;250,00;250,00;03/03/2020;02/03/2020;FALSO;Original
4849;1;135,00;135,00;03/07/2020;20/07/2020;VERDADEIRO;Duplicata/Parcial
4849;1;220,00;220,00;03/08/2020;01/09/2020;FALSO;Duplicata/Parcial
4861;1;180,00;180,00;26/02/2020;22/05/2020;FALSO;Original
4861;1;100,00;100,00;26/12/2020;10/12/2020;FALSO;Duplicata/Parcial
4861;1;120,00;120,00;26/02/2020;03/04/2021;FALSO;Duplicata/Parcial
4901;1;205,00;205,00;05/04/2020;02/04/2020;FALSO;Original
4901;1;100,00;100,00;05/03/2020;29/04/2021;FALSO;Duplicata/Parcial
4901;1;156,00;156,00;05/06/2021;04/08/2021;FALSO;Duplicata/Parcial
5127;1;64,00;64,00;10/06/2020;20/07/2020;FALSO;Original
5127;1;0,00;0,00;10/06/2020;;FALSO;Duplicata/Parcial
5132;1;150,00;150,00;10/07/2020;02/07/2020;FALSO;Original
