Código;codigo;Marca;Logo;tabela?;lK_fornecedor
224;109;view;;FALSO;0
225;110;EMILIO PUCCI;;VERDADEIRO;18
226;111;NIKE;;FALSO;32
227;112;TZAR;;FALSO;0
228;113;ROBERTO CARVALLI;;FALSO;0
229;114;Marc Jacobs;;FALSO;0
231;115;VISAGE;;FALSO;0
232;116;RENOIR;;FALSO;0
233;117;BABY;;FALSO;0
234;118;SHANI;;FALSO;0
235;119;TONY;;FALSO;0
237;120;SECG;;FALSO;0
238;121;CHAOJI KULETU;;FALSO;0
239;122;ABSURDA;;VERDADEIRO;0
241;123;DIESAL;;FALSO;0
242;124;FENDI;;FALSO;0
244;125;BOSS ORANGE;;FALSO;31
245;126;KIPLING;;FALSO;5
246;127;CARROS;;FALSO;0
247;128;PRONTOS;;FALSO;0
248;129;LOMAX;;FALSO;0
249;130;PRIDE;;FALSO;0
250;131;NICO E NICA;;FALSO;0
253;132;BANANA REPUBLIC;;VERDADEIRO;31
255;133;Unicity;;VERDADEIRO;18
256;134;FATI;;FALSO;0
257;135;MAXeCO;;FALSO;0
258;136;YS;;FALSO;0
259;137;FIFTY FIVE;;FALSO;0
261;138;SEM MARCA;;FALSO;0
262;139;VITORIA;;FALSO;0
263;140;PLUTO DISNEY;;FALSO;0
264;141;JBW;;FALSO;0
265;142;NITRO;;FALSO;0
266;143;PRENAN;;FALSO;0
268;144;X FLY;;FALSO;0
269;145;DI KALORE;;FALSO;0
270;146;FAITMAIN;;FALSO;0
271;147;PILOT;;FALSO;0
272;148;DEVILLE;;FALSO;0
273;149;OXYDO;;FALSO;0
274;150;LOPE;;FALSO;0
275;151;BEACH FORCE;;FALSO;0
276;152;ARTIOLI;;FALSO;0
277;153;ATLANTA OPTIC;;FALSO;0
278;154;CAMUFLADO;;FALSO;0
279;248;LIFE GLASSES;;FALSO;
281;281;KEEPER WOMAN;;FALSO;11
282;282;KEEPER;;FALSO;11
283;283;SECRET RX;;VERDADEIRO;11
284;284;dubai;;FALSO;
285;285;KODAK;;FALSO;
286;286;ELITE;;FALSO;
287;287;RENOMA;;FALSO;
288;288;MICHAEL KORS;;FALSO;
289;289;BEAR;;FALSO;
290;290;GRAZI MASSAFERA;;FALSO;
291;291;RALPH LAUREN;;FALSO;
292;292;;;FALSO;
293;293;BERRINI;;FALSO;
294;294;JIMMY CHOO;;FALSO;
295;295;VIZZINI;;FALSO;
296;296;MAXMARA;;FALSO;
298;298;CHRISTIAN DIOR;;FALSO;
299;299;MORENA ROSA;;FALSO;
300;300;TOMMY HILFIGER;;FALSO;
301;301;HR;;FALSO;
302;302;LEVI`S;;FALSO;
303;303;Polaroid;;FALSO;
304;304;VIZZANO;;FALSO;
305;305;CINDY;;FALSO;
306;306;SAVAG;;FALSO;
307;307;CAROLINA HERRERA;;FALSO;
