Código;Lk_venda;Lk_produto;Qtd;Valor vendido;Custo;Valor normal
13417;8961;1542;1;300,00;0,00;
13419;8959;8842;1;1.490,00;0,00;
13420;8962;2403;1;386,00;0,00;
13421;8963;8300;1;690,00;0,00;
13422;8963;7821;1;290,00;0,00;
13423;8964;8552;1;150,00;0,00;
13424;8965;1326;1;90,00;0,00;
13425;8966;1542;1;350,00;0,00;
13426;8967;7953;1;350,00;0,00;
13428;8967;8844;1;550,00;0,00;
13429;8968;1977;1;49,00;0,00;
13430;8970;1534;1;160,00;0,00;
13431;8970;8552;1;140,00;0,00;
13432;8971;1534;1;160,00;0,00;
13433;8971;1349;1;190,00;0,00;
13434;8972;1534;1;130,00;0,00;
13435;8972;8355;1;340,00;0,00;
13436;8973;1534;1;130,00;0,00;
13437;8974;1534;1;120,00;0,00;
13438;8975;6347;1;240,00;0,00;
13440;8976;8552;1;160,00;0,00;
13442;8975;8845;1;1.340,00;0,00;
13443;8978;7821;1;230,00;0,00;
13444;8979;1542;1;350,00;0,00;
13445;8980;5627;1;990,00;0,00;
13446;8980;7810;1;150,00;0,00;
13447;8981;7821;1;280,00;0,00;
13448;8981;1534;1;130,00;0,00;
13449;8982;1542;1;350,00;0,00;
13450;8982;7821;1;260,00;0,00;
13451;8984;7953;1;240,00;0,00;
13452;8984;8355;1;330,00;0,00;
13453;8986;1542;1;260,00;0,00;
13455;8987;1554;0,5;145,00;0,00;
13456;8989;8552;1;170,00;0,00;
13457;8990;1534;1;160,00;0,00;
13458;8990;8552;1;190,00;0,00;
13459;8991;7953;1;200,00;0,00;
13460;8991;8650;1;400,00;0,00;
13461;8992;7953;1;250,00;0,00;
13462;8993;7987;1;390,00;0,00;
13463;8993;7821;1;260,00;0,00;
13464;8994;7953;2;500,00;0,00;
13465;8994;8847;1;1.790,00;0,00;
13466;8994;8846;1;2.290,00;0,00;
13467;8995;8552;1;90,00;0,00;
13468;8996;1760;1;680,00;0,00;
13469;8997;1542;1;290,00;0,00;
13470;8997;7821;1;260,00;0,00;
13472;8998;8849;1;800,00;0,00;
13473;8999;7821;1;230,00;0,00;
13474;9000;8552;1;160,00;0,00;
13475;9001;1529;1;180,00;0,00;
13476;9003;7953;1;225,00;0,00;
13477;9004;1721;1;594,00;0,00;
13478;9005;5903;1;700,00;0,00;
13479;9006;7953;0,5;125,00;0,00;
13480;9006;8232;0,5;370,00;0,00;
13481;9010;1534;1;160,00;0,00;
13483;9010;8850;1;840,00;0,00;
13484;9011;1534;1;140,00;0,00;
13485;9013;1534;1;110,00;0,00;
13486;9013;6292;1;40,00;0,00;
13487;9014;1542;1;290,00;0,00;
13489;9014;8458;1;590,00;0,00;
13492;9015;8355;1;390,00;0,00;
13493;9016;1534;1;160,00;0,00;
13494;9018;1542;1;280,00;0,00;
13495;9018;7821;1;260,00;0,00;
13496;9019;1542;1;190,00;0,00;
13497;9015;8852;1;1.050,00;0,00;
13498;9020;7953;1;250,00;0,00;
13500;9020;8853;1;690,00;0,00;
13501;9021;1534;1;100,00;0,00;
13502;9022;1542;1;350,00;0,00;
13503;9022;7821;1;300,00;0,00;
13504;9023;7821;1;220,00;0,00;
