Código;Lk_Vendas;Data_Venc;Valor_Parcela;Data_Pgto;Valor_Pago;Número_parcela1;Número_parcela2;cartão;che pré;dinheiro;Requisição;multa;juros;comissão;recibo
22848;6786;10/12/2021;144,00;03/01/2022;144,00;2;3;0,00;0,00;144,00;0,00;0,00;0,00;0,00;FALSO
22849;6786;10/01/2022;144,00;18/01/2022;144,00;3;3;0,00;0,00;144,00;0,00;0,00;0,00;0,00;FALSO
22850;6823;13/11/2021;110,00;05/11/2021;110,00;1;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22851;6823;13/12/2021;110,00;07/12/2021;110,00;2;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22852;6823;13/01/2022;110,00;22/12/2021;110,00;3;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22853;6823;13/02/2022;110,00;21/01/2022;110,00;4;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22854;6823;13/03/2022;110,00;09/03/2022;110,00;5;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22855;6823;13/04/2022;110,00;12/05/2022;110,00;6;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22856;6816;13/11/2021;110,00;10/11/2021;110,00;1;2;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22857;6816;13/12/2021;110,00;08/12/2021;110,00;2;2;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22858;6832;10/11/2021;40,00;10/11/2021;40,00;1;6;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22859;6832;10/12/2021;40,00;09/12/2021;40,00;2;6;40,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22860;6832;10/01/2022;40,00;06/01/2022;40,00;3;6;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22861;6832;10/02/2022;40,00;09/02/2022;40,00;4;6;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22862;6832;10/03/2022;40,00;14/03/2022;40,00;5;6;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22863;6832;10/04/2022;40,00;19/04/2022;40,00;6;6;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22864;6133;24/10/2021;90,00;08/11/2021;90,00;1;6;0,00;0,00;90,00;0,00;0,00;0,00;0,00;FALSO
22870;6834;18/11/2021;140,00;20/11/2021;140,00;1;3;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22871;6834;18/12/2021;140,00;27/12/2021;140,00;2;3;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22872;6834;18/01/2022;140,00;27/01/2022;140,00;3;3;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22873;6831;10/11/2021;45,00;08/11/2021;45,00;1;6;0,00;0,00;45,00;0,00;0,00;0,00;0,00;FALSO
22874;6831;10/12/2021;43,00;24/11/2021;43,00;2;6;0,00;0,00;43,00;0,00;0,00;0,00;0,00;FALSO
22875;6831;10/01/2022;43,00;04/01/2022;43,00;3;6;0,00;0,00;43,00;0,00;0,00;0,00;0,00;FALSO
22876;6831;10/02/2022;43,00;03/02/2022;43,00;4;6;0,00;0,00;43,00;0,00;0,00;0,00;0,00;FALSO
22877;6831;10/03/2022;43,00;03/03/2022;43,00;5;6;0,00;0,00;43,00;0,00;0,00;0,00;0,00;FALSO
22878;6831;10/04/2022;43,00;05/04/2022;43,00;6;6;0,00;0,00;43,00;0,00;0,00;0,00;0,00;FALSO
